Unnamed: 0,Badrumsrenovering,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,Personuppgifter,,Förnamn,,Efternamn,,,,,Arbetskostnad,Materialkostnad,"Servicebil, trängselskatt, parkering, byggsäck",,,,,,,,,,,,
O,Personens namn,,,,,,,,,,,,,,,,,,,,,,,
O,Telefonnummer,,Tel.,,,,,,,,,,,,,,,,,,,,,
O,Adress fullständig,,Adress,,,,,,,,,,,,,,,,,,,,,
,Epost,,Epost,,,,,,,,,,,,,,,,,,,,,
EVB,Portkod,,Portkod,,,,,,,,,,,,,,,,,,,,,
,Utförande säsong,,Sommar,,Vinter,,,,,0,,,,,,,,,0.0,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Antal våningar,,Antal,,,,,,100,0,,,,,,,,,,,,,,
,"Boende, (lägenhet eller hus)",,Brf Lägenhet,,Hus,,Fritidshus,,Hyresrätt/lokal,0,,,,,,,,,0.0,0.0,False,False,,
,Parkeringsmöjlighet(avstånd till fastighet),,Dålig,,Helt okej,,Bra,,,0,,,,,,,,,0.0,0.0,False,,,
,Transportmöjlighet fram till fastigheten,,Dålig,,Helt okej,,Bra,,,0,,,,,,,,,0.0,0.0,False,,,
,Parkeringskostnad,,Antal dagar,,,,Kostnad per dag,,,,,0,,,,,,,,,,,,
,Service bil,,Antal dagar,,,,Kostnad per dag,,,,,0,,,,,,,,,,,,
,Trängselskatt,,Antal dagar,,,,Kostnad per dag,,,,,0,,,,,,,,,,,,
,Hiss Ja eller Nej,,Ja,,Nej,,Behövs inte ,,,0,,,,,,,,,0.0,0.0,False,,,
,Storlek på hiss,,Liten,,Mellan,,Stor,,,0,,,,,,,,,0.0,0.0,False,,,
,Trapphus med god tillgänglighet,,Ja,,Nej,,Behövs inte ,,,0,,,,,,,,,0.0,0.0,False,,,
,Möjlighet till arbetsutrymme inomhus,,Finns,,Finns inte,,,,,0,,,,,,,,,0.0,0.0,,,,
,Distans till närmaste arbetsutrymme om nej,,Antal meter,,,,Pris/m,,480,0,,,,,,,,,,,,,,
,Avstånd till arbetsutrymme från närmaste ingång,,Antal meter,,,,Pris/m,,480,0,,,,,,,,,,,,,,
O,Täcking av golv,,Timmar,,,,Golvyta (kvm),,,0,0,,,,,,,,680.0,50.0,,,,
,Angående bostad och kund,,,,,,,,,,,,,,,,,,,,,,,
EVB,Mått på badrumet.   BxLxH,,200,,300,,250,,,160000,22500,,,,,,,,,,,,,
EVB,Golvyta,,6,,,,,,,,,,,,,,,,,,,,,
,Skiss på badrummet ,,Finns,,Tagit fram av oss,,,,,0,,,,,,,,,0.0,0.0,,,,
,Befintliga placeringar ,,Ritat,,,,,,,0,,,,,,,,,0.0,,,,,
EVB,Antal omplaceringar ,,0,,1,,2,,3,0,0,,,,,,,,0.0,0.0,False,False,,
O,Etablering,,Ja,,Nej,,,,,,,,,,,,,,,,,,,
OB,Flytspackling,,Ja,,Nej,,,,,,,,,,,,,,,,,,,
OB, Ta in byggmaterial,,Ja,,Nej,,,,,,,,,,,,,,,,,,,
OVB,Omplacering av toalett (ange antal cm),,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OVB,Omplacering av tvättställ (ange antal cm),,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OVB,Omplacering av dusch (ange antal cm),,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OVB,Omplacering av badkar (ange antal cm),,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OVB,Omplacering av handdukstork(ange antal cm),,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OVB,Antal byte av golvbrunnar,,1,,2,,3,, ,0,0,,,,,,,,0.0,0.0,False,,,
OVB,Flytt av golvbrunnar,,1,,2,,3,,,0,0,,,,,,,,0.0,0.0,False,,,
OVB,Utföra en extra golvbrunn,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OVEB,Spåra golv och väggar,,Ja,,Nej,,,,,0,,,,,,,,,0.0,0.0,,,,
OVB,Andra genomföringar från golvet ,,1,,2,,3,,,0,0,,,,,,,,0.0,0.0,False,,,
OVB,Flytt av genomföringar till väggar,,1,,2,,3,,,0,0,,,,,,,,0.0,0.0,False,,,
OVB,Byte av avloppsrör i golvet,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
VB,Avstängning av vatten finns,,I badrummet,,Utanför badrummet,,Husets källare,,Föreningens källare,0,,,,,,,,,0.0,0.0,False,False,,
EB,Säkringsskåp,,Gamla proppar,,Moderna säkringar,,,,,0,,,,,,,,,0.0,0.0,,,,
E,Jordfelsbrytare,,Finns,,Finns inte,,,,,0,0,,,,,,,,0.0,0.0,,,,
E,Avstånd mellan elskåp till badrummet,,Upp till 5 meter,,Upp till 10 meter,,En annan våning,,,0,0,,,,,,,,0.0,0.0,False,,,
E,Avståndet mellan närmaste kopplingsdosa till badrummet,,I närliggande vägg,,Långt bort,,,,,0,0,,,,,,,,0.0,0.0,,,,
,Behövs följande apparater?,,,,,,,,,,,,,,,,,,,,,,,
OEB,Taklampa/takdosa,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OEB,Vägguttag,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OEB,El handdukstork,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OEB,El-golvvärme,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OEVB,Tvättmaskin,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OEB,Torktumlare,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OEB,El i tvättställ/kommod,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OEB,Extra uttag för strykjärn,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OEB,Spotlights (antal),,Antal,,,,Pris/ enhet,,,0,0,,,,,,,,,,,,,
OEB,Taksänkning,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Behövs följande inredning?,,,,,,,,,,,,,,,,,,,,,,,
OB,Inbyggd spegel i väggen,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OE,Spegel med belysning,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OE,Spegelskåp med belysning och uttag,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OVB,Tvättställ med kommod,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OVB,Duschblandare med handdusch,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OVB,Duschblandare med tak- och handdusch,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OB,Sätta upp en vägg som duschvägg,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OB,Sätta upp en fast duschvägg av glasblock,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OB,Montering av en glas-duschvägg,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OB,Montering av duschdörrar,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OVB,Golvbrunnen i duschen,,Normal,,Avlång,,,,,0,0,,,,,,,,0.0,0.0,,,,
OBV,Badkar,,Fristående,,Inbyggt,,,,,0,0,,,,,,,,0.0,0.0,,,,
OBV,Toalett,,Fristående,,Vägg,,,,,0,0,,,,,,,,0.0,0.0,,,,
OB,"Silikondragning, applicering",,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OB,Byte av dörrfoder invändingt,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OB,Byte av dörrfoder utvändigt,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OB,Byte av dörrkarm,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OB,Byte av dörrblad,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OB,Byte / uppfräschning av tröskel,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OB,Fönster ommålning,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OVB,Dolda rördragningar,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OVB,Utanpåliggande rördragningar,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OVB,Dold takdusch,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OVB,Antal dolda blandare,,Antal,,,,Pris/enhet,,,0,0,,,,,,,,,,,,,
OVB,Räddning av befintlig vattenburen golvvärme,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OVB,Läggning av ny vattenburen golvvärme,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
OB,Plattsättning upp till tak,,Ja,,Nej,,,,,,,,,,,,,,,,,,,
OB,Höjd på plattsättning på väggar,,Höjd i cm,,,,,,,,,,,,,,,,,,,,,
OB,Nischar utan spotlight,,Antal,,,,Pris/enhet,,,0,,,,,,,,,,,,,,
OEB,Nischar med spotlight,,Antal,,,,Pris/enhet,,,0,,,,,,,,,,,,,,
B,Storlek golvplattor (10*10 till 20*20),,Mått,,,,,,,,,,,,,,,,,,,,,
O,Avvikelse i storlek för golvplattor ,,Antal,,,,Pris/enhet,,,0,0,,,,,,,,,,,,,
B,Väggplattor (15*15 till 60*60),,Mått,,,,,,,,,,,,,,,,,,,,,
O,Avvikelse i storlek för väggplattor,,Antal,,,,Pris/enhet,,,0,0,,,,,,,,,,,,,
B,Antal färger fog,,Antal,,,,Pris/enhet,,,0,0,,,,,,,,,,,,,
,Arbetstid målning av tak,,Timmar,,,,Pris/h,,,0,,,,,,,,,,,,,,
OB,Målning av tak,,Antal kvm,,,,Pris/enhet,,,,0,,,,,,,,,,,,,
O,Arbetstid målning av okaklade väggar,,Timmar,,,,Pris/h,,,0,,,,,,,,,,,,,,
OB,Målning av okaklade väggar,,Antal kvm,,,,Pris/enhet,,,,0,,,,,,,,,,,,,
OB,Avetablering och grovstädning,,Ja,,Nej,,,,,0,0,,,,,,,,0.0,0.0,,,,
,Byggsäck,,Antal säckar,,,,Pris per säck,,,,,0,,,,,,,,,,,,
,Plus-rad,,Arbete,,VVS/EL/BYGG?,,Kostnad,,,,,,,,,,,,,,,,,
,Noteringar för diverse arbete,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Arbetskostnad,Materialkostnad,"Servicebil, trängselskatt, parkering, byggsäck"
,,,,,,,,,,,,,,,,,,,,,Summa ,160000,22500,0
,,,,,,,,,,,,,,,,,,,,,Rabatt,1000,1000,1000
,,,,,,,,,,,,,,,,,,,,,Efter rabatt,159000,21500,-1000
,,,,,,,,,,,,,,,,,,,,,Rotavdrag,47700,,
,,,,,,,,,,,,,,,,,,,,,Betalas av kunden,111300,21500,-1000
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Totalt betalas av kunden efter rabatt,131800,,
